gameID,winner
122523,black
122522,red
122521,red
122519,red
122518,black
122513,black
122512,red
122511,red
122510,red
122509,red
122508,red
122507,red
122506,red
122503,red
122502,black
122499,red
122497,red
122495,black
122494,black
122493,red
122491,red
122488,red
122487,red
122483,black
122482,red
122481,red
122480,red
122477,black
122476,red
122472,red
122471,black
122470,black
122466,black
122462,red
122460,red
122459,red
122458,red
122457,red
122456,black
122455,red
122452,red
122451,red
122449,red
122448,black
122446,red
122442,red
122441,red
122440,black
122436,red
122435,red
122434,black
122433,red
122432,black
122428,red
122427,red
122426,black
122425,black
122423,black
122422,red
122421,red
122420,red
122418,black
121816,red
121815,red
121811,red
121810,black
121809,red
121808,red
121807,red
121806,black
121805,red
121804,black
121803,red
121802,black
121801,red
121800,black
121799,black
121797,black
121796,red
121795,black
121794,red
121793,red
121792,red
121791,black
121790,black
121789,red
121788,black
121787,red
121785,black
121783,black
121782,black
121781,black
121778,black
121777,red
121776,red
121775,black
121774,red
121773,red
121769,red
121768,black
121766,black
121765,black
121764,red
121762,red
121761,red
121760,black
121759,black
121758,red
121757,black
121753,red
121752,black
121751,red
121750,black
121749,red
121748,red
121746,black
121743,red
121742,black
121741,red
121740,black
121739,black
121738,red
121737,red
121736,black
121735,red
121734,red
121730,red
121729,red
121728,red
121726,red
121725,red
121724,red
121723,black
121721,red
121720,red
121719,red
122416,black
122415,red
122414,red
122411,red
122410,red
122409,black
122408,red
122406,black
122404,red
122403,red
122400,black
122399,black
122395,black
122391,red
122388,red
122386,black
122385,red
122384,red
122383,red
122382,black
122381,black
122380,red
122379,red
122378,red
122376,black
122375,black
122374,red
122373,black
122372,red
122371,red
122369,red
122361,black
122358,black
122357,red
122355,red
122354,red
122353,black
122352,red
122345,red
122344,black
122343,red
122341,red
122338,black
122335,black
122334,black
122332,red
122331,black
122329,red
122328,red
122322,black
122321,red
122320,red
122318,black
122317,black
122312,black
122311,black
122310,red
122309,red
122308,black
122305,red
122304,red
122303,red
122300,black
122297,red
122296,red
122294,black
122293,red
122291,red
122290,red
122288,black
122286,red
122284,red
122283,red
122280,black
122279,red
122278,black
122277,black
122276,red
122275,red
122274,black
122272,black
122271,black
122270,black
122268,red
122267,red
122266,red
122264,red
122263,red
122261,red
122259,black
122257,black
122256,black
122253,red
122250,black
122247,black
122246,red
122245,black
122244,black
122243,red
122242,red
122241,black
122239,black
122238,red
122237,black
122234,black
122231,red
122230,black
122229,red
122227,red
122225,black
122224,red
122223,black
122222,black
122220,red
122217,black
122216,black
122214,red
122213,red
122212,red
122211,red
122209,black
122197,red
122194,red
122192,red
122188,black
122187,red
122185,black
122183,black
122179,red
122178,red
122177,red
122176,black
122175,black
122174,black
122173,black
122172,black
122171,red
122168,red
122166,red
122164,red
122163,black
122162,black
122159,red
122158,red
122155,red
122153,red
122152,red
122151,black
122150,black
122149,black
122148,black
122147,red
122146,black
122144,red
122143,red
122142,red
122130,red
122127,black
