gameID,winner
57380690,red
57380691,red
57380692,black
57380693,black
57380694,red
57380695,black
57380696,red
57380697,black
57380698,red
57380699,red
57380700,red
57380701,red
57380702,red
57380703,red
57380704,red
57380705,black
57380706,red
57380707,black
57380708,black
57380709,red
57380710,black
57380711,red
57380712,red
57380713,red
57380714,red
57380715,red
57380716,black
57380717,red
57380718,black
57380719,black
57380720,black
57380721,black
57380722,black
57380723,black
57380724,red
57380725,red
57380726,red
57380727,red
57380728,black
57380729,red
57380730,red
57380731,red
57380732,red
57380733,red
57380734,red
57380735,red
57380736,red
57380737,black
57380738,red
57380739,red
57380740,black
57380741,black
57380742,black
57380743,black
57380744,red
57380745,red
57380746,black
57380747,black
57380748,red
57380749,black
57380750,red
57380751,red
57380752,red
57380753,black
57380754,black
57380755,red
57380756,red
57380757,black
57380758,red
57380759,red
57380760,red
57380761,red
57380762,red
57380763,red
57380764,red
57380765,red
57380766,red
57380767,red
57380768,black
57380769,red
57380770,black
57380771,red
57380772,black
57380773,black
57380774,black
57380775,red
57380776,red
57380777,black
57380778,red
57380779,black
57380780,black
57380781,red
57380782,black
57380783,black
57380784,black
57380785,black
57380786,black
57380787,red
57380788,red
57380789,red
57380790,red
57380791,black
57380792,red
57380793,red
57380794,red
57380795,black
57380796,black
57380797,draw
57380798,black
57380799,red
57380800,red
57380801,red
57380802,black
57380803,black
57380804,black
57380805,red
57380806,draw
57380807,black
57380808,black
57380809,red
57380810,black
57380811,red
57380812,red
57380813,black
57380814,black
57380815,black
57380816,red
57380817,black
57380818,black
57380819,red
57380820,black
57380821,red
57380822,red
57380823,black
57380824,red
57380825,red
57380826,red
57380827,red
57380828,red
57380829,black
57380830,black
57380831,red
57380832,black
57380833,red
57380834,red
57380835,black
57380836,black
57380837,black
57380838,black
57380839,red
57380840,red
57380841,black
57380842,red
57380843,black
57380844,red
57380845,red
57380846,red
57380847,red
57380848,red
57380849,red
57380850,red
57380851,red
57380852,red
57380853,black
57380854,red
57380855,black
57380856,red
57380857,red
57380858,black
57380859,red
57380860,black
57380861,red
57380862,red
57380863,black
57380864,red
57380865,black
57380866,red
57380867,red
57380868,black
57380869,black
57380870,black
57380871,red
57380872,red
57380873,red
57380874,red
57380875,red
57380876,red
57380877,black
57380878,red
57380879,black
57380880,red
57380881,black
57380882,black
57380883,red
57380884,black
57380885,red
57380886,red
57380887,black
57380888,red
57380889,red
57380890,red
57380891,black
57380892,red
57380893,black
57380894,red
57380895,red
57380896,red
57380897,red
57380898,black
57380899,red
57380900,red
57380901,black
57380902,red
57380903,red
57380904,red
57380905,black
57380906,red
57380907,black
57380908,black
57380909,black
57380910,black
57380911,draw
57380912,red
57380913,red
57380914,red
57380915,black
57380916,black
57380917,red
57380918,red
57380919,red
57380920,red
57380921,black
57380922,black
57380923,red
57380924,black
57380925,black
57380926,red
57380927,red
57380928,red
57380929,red
57380930,black
57380931,red
57380932,black
57380933,red
57380934,draw
57380935,black
57380936,red
57380937,black
57380938,black
57380939,red
57380940,red
57380941,red
57380942,red
57380943,red
57380944,black
57380945,red
57380946,black
57380947,red
57380948,black
57380949,black
57380950,red
57380951,red
57380952,black
57380953,black
57380954,red
57380955,black
