gameID,winner
121607,red
121609,red
121610,red
121611,black
121612,black
121617,red
121621,red
121622,red
121623,black
121624,red
121625,red
121626,red
121627,red
121629,red
121632,red
121633,black
121635,black
121636,red
121637,black
121641,red
121642,black
121643,red
121645,red
121646,red
121653,black
121655,red
121656,black
121657,red
121658,red
121659,red
121660,red
121661,black
121662,red
121664,red
121666,red
121668,black
121669,red
121672,red
121677,red
121678,black
121679,red
121686,red
121689,red
121691,black
121693,black
121697,red
121698,red
121701,red
121703,red
121704,red
121705,black
121706,red
121707,red
121710,red
121711,black
121713,black
121714,black
121716,red
121717,black
121719,red
121720,red
121721,red
121723,black
121724,red
121725,red
121726,red
121728,red
121729,red
121730,red
121734,red
121735,red
121736,black
121737,red
121738,red
121739,black
121740,black
121741,red
121742,black
121743,red
121746,black
121748,red
121749,red
121750,black
121751,red
121752,black
121753,red
121759,black
121760,black
121761,red
121765,black
121766,black
121768,black
121773,red
121774,red
121775,black
121776,red
121777,red
121778,black
121781,black
121782,black
121783,black
121785,black
121787,red
121788,black
121789,red
121790,black
121791,black
121792,red
121793,red
121794,red
121795,black
121796,red
121797,black
121799,black
121800,black
121801,red
121802,black
121803,red
121804,black
121805,red
121806,black
121807,red
121808,red
121809,red
121815,red
121816,red
121819,black
121821,red
121826,black
121827,red
121828,black
121833,red
121839,red
121840,red
121843,black
121845,red
121847,red
121852,red
121853,black
121864,black
121865,red
121866,red
121867,red
121872,red
121873,red
121874,red
121875,red
121876,red
121880,red
121896,red
121899,red
121901,red
121905,black
121906,black
121909,black
121910,red
121911,black
121912,black
121914,red
121929,black
121931,red
121933,red
121934,black
121937,black
121938,black
121939,red
121942,black
121943,red
121944,black
121948,red
121949,red
121965,black
121968,red
121969,black
121970,red
121971,red
121972,black
121973,black
121975,black
121977,red
121986,red
121987,red
121988,red
121994,black
121996,black
121997,red
121998,black
122002,red
122003,red
122004,red
122005,red
122006,red
122007,black
122008,red
122010,black
122011,red
122015,black
122016,red
122021,black
122022,black
122023,black
122025,black
122026,black
122027,red
122030,red
122031,black
122032,red
122033,red
122034,black
122035,black
122036,red
122038,red
122039,red
122045,black
122046,black
122048,red
122049,red
122051,red
122053,red
122057,red
122058,black
122059,black
122060,red
122061,red
122062,red
122063,red
122064,red
122065,red
122066,red
122069,black
122071,black
122073,black
122075,red
122080,red
122081,red
122092,red
122095,red
122096,red
122098,red
122099,red
122100,black
122101,black
122102,black
122103,red
122104,red
122106,red
122108,red
122109,black
122117,red
122123,black
122125,black
122127,black
122130,red
122142,red
122143,red
122144,red
122146,black
122147,red
122148,black
122155,red
122156,black
122157,red
122158,red
