gameID,winner
174795,red
174775,black
174772,black
174748,red
174741,red
174740,red
174715,black
174595,red
174585,black
174582,red
174564,black
174533,red
174373,black
174370,black
174367,red
174366,red
174364,black
174362,black
174348,red
174342,black
174335,black
174334,red
174332,red
174331,red
174330,red
174327,black
174326,black
174325,black
174323,red
174321,red
174306,red
174305,black
174302,black
174198,red
174196,black
174191,black
174190,black
174188,red
174179,red
174178,red
174173,red
174171,red
174170,black
174169,black
174165,black
174163,red
174162,red
174160,red
174157,black
174155,black
174153,red
174152,red
174151,black
174150,black
174145,red
174142,black
174141,red
174136,red
174133,red
174132,black
174127,red
174122,red
174120,black
174119,red
174110,black
174109,red
174108,red
174104,red
173798,red
173793,black
173791,black
173790,red
173783,black
173782,red
173759,red
173752,red
173750,black
173737,red
173736,black
173722,red
173713,black
173600,red
173596,red
173594,red
173588,black
173574,black
173571,black
173569,red
173568,black
173567,red
173556,black
173550,red
173544,red
173542,black
173536,black
173531,black
173529,red
173522,red
173521,red
173519,red
173515,red
173514,black
173512,red
173511,black
173508,red
172798,red
172794,red
172788,red
172780,black
172776,black
172775,red
172768,black
172767,black
172761,red
172753,red
172749,red
172744,red
172741,black
172738,red
172736,red
172731,red
172726,red
172724,red
172721,black
172720,red
172713,red
172711,black
172706,red
172703,black
172702,red
171598,black
171590,black
171586,red
171584,black
171582,black
171580,black
171572,black
171570,red
171560,red
171556,red
171550,red
171548,red
171542,red
171535,black
171534,red
171532,red
171528,black
171525,black
171523,red
171522,red
171513,black
171511,red
171508,red
171503,black
171389,red
171388,red
171384,black
171382,red
171380,black
171367,red
171351,red
171348,red
171347,red
171344,red
171343,red
171340,red
171339,black
171335,red
171333,black
171326,red
171325,red
171320,red
171308,black
171307,black
171303,black
171302,black
171000,red
170990,red
170987,black
170971,red
170967,red
170961,black
170958,black
170955,red
170949,black
170944,black
170943,black
170942,red
170935,black
170930,red
170920,black
170915,red
170907,black
170902,black
169596,red
169588,black
169587,black
169585,red
169584,red
169583,red
169579,black
169577,black
169574,black
169563,red
169560,red
169559,black
169553,red
169552,black
169549,red
169545,black
169544,red
169540,red
169539,red
169535,black
169534,black
169533,red
169532,red
169526,red
169512,red
169509,black
169507,black
169506,black
169505,red
169504,red
169396,red
169390,black
169373,black
169368,red
169365,black
169360,red
169356,black
169354,red
169352,black
169347,red
169343,black
169333,black
169326,red
169322,red
169317,red
169315,black
169311,red
169304,red
168599,red
168596,red
168595,black
168580,red
168574,black
168568,black
168567,black
168566,black
168564,black
168563,black
168560,red
168551,red
168536,red
168532,red
168523,black
168520,red
168519,black
168515,red
168514,black
168507,black
168393,black
168392,black
168391,black
168373,black
168369,black
168366,red
168359,red
168355,black
168353,red
168352,red
168348,red
168340,red
168337,black
168333,red
168332,black
168330,red
168325,red
168324,red
168322,black
168317,black
168304,red
168303,red
167985,red
167984,black
167974,red
167971,black
167969,black
167961,red
167957,red
167951,black
167945,black
167944,black
167943,black
167938,red
167937,red
167936,red
167931,black
167930,red
167927,black
167925,black
167920,black
167915,red
167910,red
167906,black
166996,red
166995,red
166992,black
166986,black
166984,black
166981,red
166978,red
166973,black
166966,red
166964,black
166963,black
166961,black
166960,red
166953,red
166947,black
166946,black
166944,red
166939,black
166936,red
166935,red
166923,black
166920,black
166916,red
166913,black
166911,black
166906,black
166904,black
166903,black
165996,black
165995,red
165994,red
165992,red
165989,red
165986,black
165980,black
165979,black
165978,black
165972,red
165968,red
165957,black
165951,red
165938,red
165936,black
165933,black
165931,red
165927,red
165916,red
165913,black
165907,red
165904,black
165902,black
165594,black
165592,red
165591,red
165580,black
165575,black
165572,red
165570,red
165564,red
165560,black
165559,black
165556,black
165547,red
165546,red
165541,red
165540,black
165539,black
165533,red
165532,black
165524,black
165518,black
165514,red
165508,red
165400,black
165395,red
165389,red
165387,black
165381,red
165373,red
165366,black
165365,black
165364,red
165361,black
165360,black
165356,red
165354,red
165352,red
165349,black
165341,red
165338,red
165337,red
165333,red
165329,red
165328,red
165325,red
165302,red
165198,red
165194,red
165191,red
165189,red
165188,black
165182,red
165181,black
165177,black
165173,red
165158,red
165157,red
165155,red
165148,black
165147,red
165142,black
165132,red
165129,red
165124,red
165117,red
165108,black
165102,black
164983,red
164980,black
164978,black
164973,red
164960,black
164955,red
164954,black
164951,black
164949,red
164946,red
164938,red
164931,red
164930,red
164920,black
164919,red
164918,red
164909,black
164903,red
164902,black
164800,black
164799,red
164797,black
164794,black
164793,red
164792,black
164790,black
164784,red
164783,black
164782,red
164781,red
164780,black
164777,red
164775,black
164774,black
164773,red
164771,red
164765,black
164762,black
164759,red
164749,red
164746,red
164736,black
