gameID,winner
104890,red
104887,black
104886,red
104885,red
104883,black
104880,black
104871,black
104869,black
104860,black
104859,red
104858,red
104855,black
104852,black
104850,black
104847,red
104846,black
104844,black
104840,black
104837,black
104836,black
104834,black
104831,red
104825,red
104821,red
104818,red
104811,red
104807,red
104804,red
104795,red
104794,red
104787,black
104786,red
104775,black
104768,black
104765,red
104764,red
104758,black
104756,red
104753,black
104745,red
104741,black
104740,red
104737,black
104720,red
104718,black
104714,red
104713,red
104711,red
104710,red
104705,black
104700,black
104697,black
104693,red
104687,black
104686,black
104684,red
104672,red
104661,red
104660,black
104659,black
104657,red
104652,black
104649,black
104644,black
104642,black
104639,black
104638,black
104635,black
104633,red
104632,black
104628,black
104624,black
104618,red
104613,black
104599,red
104594,red
104593,red
104592,black
104589,black
104585,black
104581,red
104578,black
104576,red
104570,red
104564,red
104555,red
104554,red
104546,black
104544,black
104541,black
104540,black
104539,red
104538,red
104536,black
104532,red
104527,red
104526,black
104525,red
104522,red
104515,red
104514,red
104513,red
104509,red
104498,red
104496,red
104494,red
104491,red
104490,red
104487,black
104483,red
104480,red
104476,black
104475,black
104472,black
104466,red
104463,black
104462,black
104455,red
104452,black
104447,red
104446,red
104445,red
104440,red
104439,red
104438,black
104437,red
104435,red
104434,red
104430,red
104425,black
104422,red
104421,red
104418,red
104415,red
104411,red
104408,black
104407,red
104396,black
104395,black
104392,red
104391,black
104386,red
104377,red
104368,black
104367,black
104366,black
104365,black
104357,red
104355,black
104354,black
104352,red
104350,red
104346,black
104343,red
104342,red
104340,red
104338,black
104337,black
104332,red
104331,black
104327,red
104322,black
104320,red
104316,red
104315,red
104312,black
104308,red
104305,red
104304,black
104303,black
104295,red
104290,red
104289,red
104283,red
104280,red
104277,red
104276,black
104273,black
104267,red
104265,black
104252,black
104249,black
104248,red
104243,black
104235,black
104228,black
104221,red
104220,red
104213,red
104202,red
104198,red
104187,black
104182,black
104170,red
104168,black
104167,black
104148,black
104142,red
104141,red
104140,red
104139,black
104137,black
104134,red
104128,black
104119,black
104118,red
104117,black
104115,black
104112,black
104104,red
104088,red
104085,red
104084,black
104082,red
104080,red
104077,black
104064,red
104062,black
104048,black
104043,red
104033,red
104032,black
104031,red
104029,black
104028,red
104027,red
104026,black
104025,black
104024,black
104018,black
104017,red
104016,black
104015,red
104011,black
104010,red
104007,black
104005,red
104000,black
103979,red
103973,black
103972,black
103956,red
103950,black
103946,black
103941,red
103938,black
103937,red
103932,black
103927,red
103924,black
103918,black
103916,red
103912,red
103905,red
103897,black
103884,red
103883,red
103879,red
103873,black
103872,black
103871,red
103869,red
103863,black
103862,black
103856,red
103851,black
103845,red
103843,red
103842,black
103839,red
103832,red
103831,red
103829,red
103827,red
103818,red
103812,red
103806,black
103802,black
103800,red
103793,red
103784,red
103779,black
103776,red
103775,red
103771,black
103763,red
103754,black
103751,black
103749,red
103748,black
103746,red
103737,red
103735,red
103731,black
103724,black
103722,black
103715,black
103713,red
103706,black
103699,red
103698,black
103696,red
103695,black
103684,red
103679,black
103678,red
103677,black
103674,red
103670,black
103669,red
103668,black
103667,red
103658,black
103647,black
103644,black
103638,black
103628,red
103627,black
103614,black
103613,red
103609,red
103590,black
103587,red
103585,red
103580,red
103572,black
103569,red
103560,red
103559,red
103558,red
103549,black
103547,red
103540,black
103536,black
103534,red
103528,red
103524,red
103521,red
103519,red
103512,red
103507,red
103496,red
103492,black
103491,red
103490,black
103487,red
103478,black
103476,red
103475,black
103468,red
103465,black
103462,red
103461,black
103460,black
103456,red
103446,black
103445,black
103442,red
103441,black
103440,red
103436,black
103434,red
103431,red
103420,black
103419,red
103415,red
103412,red
103407,red
103404,red
103400,red
103397,black
103391,black
103385,black
103379,red
103372,red
103362,black
103341,red
103338,red
103337,black
103335,red
103331,black
103327,black
103325,red
103317,red
103311,black
103309,black
103305,red
103302,black
103296,red
103286,black
103281,red
103267,black
103263,red
103257,red
103248,black
103241,red
103240,black
103234,red
103232,black
103227,red
103224,red
103223,red
103221,red
103219,black
103215,red
103214,black
103213,red
103208,red
103204,black
103203,red
103200,red
103188,red
103185,red
103177,red
103172,black
103168,red
103164,red
103160,red
103159,black
103154,red
103152,red
103150,black
103148,black
103139,black
103136,red
103126,black
103125,black
103114,red
103113,black
103111,red
103092,red
103085,red
103078,red
103076,red
103074,red
103073,red
103064,red
103062,black
103057,red
103056,red
103055,black
103050,red
103049,black
103045,black
103042,red
103039,black
103038,red
103035,red
103033,red
103024,black
103018,red
103005,red
103004,black
102997,red
102995,red
102993,black
102992,black
102988,red
102986,red
102983,black
102972,red
102970,black
102969,red
102967,black
102960,red
102955,black
102950,red
102949,black
102947,black
102941,black
102937,red
102931,red
102929,black
102922,red
102915,black
102909,black
102906,red
102902,black
102898,black
102894,black
102893,black
102882,black
102877,black
102873,red
102865,red
102862,black
102857,red
102854,black
102851,black
102844,black
102838,red
102829,black
102823,black
102822,black
102820,red
102816,black
102808,red
102779,red
102765,red
102754,black
102747,black
102744,red
102742,red
102737,black
102732,red
102731,red
102730,red
102729,black
102720,black
102717,red
102712,red
102710,black
102702,red
102691,red
102689,red
102688,black
102686,black
102685,red
102682,black
102678,black
102669,red
102668,red
102661,black
102656,black
102655,black
102652,red
102648,black
102646,black
102643,black
102641,black
102638,red
102637,black
102636,red
102632,black
102622,red
102620,red
102618,red
102616,black
102613,black
102605,black
102603,black
102602,red
102593,red
102590,red
102589,red
102582,red
102575,black
102572,red
102566,red
102563,red
102561,red
102559,red
102554,black
102551,red
102546,black
102543,black
102541,black
102531,red
102529,red
102527,black
102517,red
102514,black
102506,black
102499,red
102487,red
102484,black
102479,red
102472,red
102468,red
102463,black
102459,black
102458,red
102453,black
102449,red
102446,black
102439,red
102431,red
102427,black
102424,red
102421,black
102405,red
102403,red
102398,red
102397,red
102390,black
102385,black
102381,red
102375,red
102364,red
102353,black
102352,black
102347,red
102339,red
102338,red
102334,black
102331,red
102324,black
102323,red
102319,red
102318,black
102316,red
102312,black
102298,black
102296,red
102293,red
102292,red
102286,red
102277,red
102272,red
102269,red
102257,black
102256,black
102247,black
102237,red
102236,black
102223,black
102214,black
102212,black
102206,red
102195,red
102185,red
102174,red
102172,red
102170,black
102167,red
102162,black
102154,red
102150,red
102139,black
102138,black
102131,black
102128,black
102120,red
102112,black
102107,red
102106,black
102104,black
102102,red
102098,red
102088,black
102079,black
102078,black
102070,red
102069,red
102064,red
102063,black
102053,red
102050,red
102049,black
102048,red
102041,red
102034,black
102031,black
102030,black
102019,red
102007,black
102002,red
101969,black
101966,black
101964,black
101961,black
101958,black
101956,black
101955,red
101951,black
101950,red
101947,black
101945,red
101928,red
101921,red
101917,red
101914,red
101909,black
101907,red
101905,black
101904,black
101898,red
101888,black
101884,red
101883,red
101873,black
101872,red
101868,black
101862,red
101858,red
101857,red
101850,black
101846,black
101844,black
101840,black
101832,red
101831,red
101822,red
101817,red
101813,red
101806,black
101804,black
101802,red
101793,red
101791,red
101790,black
101788,black
101784,black
101783,red
101779,black
101775,black
101772,red
101759,red
101755,red
101753,red
101748,black
101736,red
101727,black
101717,red
101716,black
101715,red
101713,black
101712,red
101709,red
101707,red
101706,black
101703,red
101699,red
101693,black
101690,black
101689,red
101683,red
101682,black
101678,red
101674,red
101673,red
101671,red
101665,red
101661,red
101660,red
101658,red
101654,black
101648,red
101647,red
101639,red
101635,black
101625,red
101624,red
101620,black
101613,black
101606,black
101605,red
101599,red
101596,red
101593,black
101585,black
101584,red
101582,red
101580,red
101569,red
101567,red
101566,black
101565,red
101563,red
101555,red
101551,red
101549,red
101546,red
101543,red
101534,black
101532,red
101530,black
101529,red
101512,red
101511,red
101510,red
101508,red
101502,red
101499,black
101493,black
101488,red
101487,red
101473,black
101467,red
101466,black
101459,red
101457,red
101455,black
101453,red
101448,red
101447,red
101446,red
101433,black
101431,red
101427,red
101421,red
101418,black
101408,red
101406,red
101397,red
101395,red
101392,red
101377,black
101376,red
101373,red
101370,black
101364,red
101360,black
101357,red
101348,black
101345,red
101344,black
101340,black
101338,black
101333,black
101330,red
101328,black
101325,red
101314,black
101312,black
101292,red
101291,black
101288,black
101284,red
101278,red
101277,red
101270,red
101264,red
101263,black
101259,red
101252,black
101244,red
101233,red
101232,red
101230,black
101225,red
101219,black
101218,black
101217,red
101216,red
101211,red
101209,red
101194,black
101189,red
101187,red
101179,red
101176,black
101171,black
101169,red
101165,black
101162,red
101156,black
101151,red
101145,black
101144,black
101143,black
101134,black
101128,red
101124,red
101117,black
101115,black
101113,red
101112,black
101105,red
101099,black
101090,red
101089,red
101083,black
101078,black
101077,black
101071,red
101068,black
101061,black
101058,red
101051,red
101041,black
101037,black
101033,red
101032,red
101024,red
101021,red
101020,red
101017,black
101012,black
101009,black
101007,red
101000,black
100997,red
100994,red
100991,black
100982,red
100978,red
100975,black
100966,black
100964,black
100962,red
100958,red
100951,red
100947,black
100946,red
100944,red
100937,black
