gameID,winner
1313718,black
1313695,red
1313693,black
1313690,red
1313678,red
1313672,black
1313664,red
1313661,red
1313649,black
1313647,black
1313636,red
1313622,black
1313603,black
1313597,black
1313594,red
1313569,black
1313567,black
1313566,red
1313565,black
1313561,red
1313547,black
1313530,red
1313515,red
1313512,red
1313506,red
1313484,red
1313481,black
1313478,black
1313474,black
1313473,black
1313462,red
1313460,black
1313446,red
1313440,black
1313435,red
1313426,red
1313405,black
1313402,red
1313401,black
1313396,red
1313395,red
1313385,red
1313373,black
1313360,black
1313347,red
1313329,red
1313325,red
1313316,red
1313311,black
1313304,black
1313287,red
1313279,black
1313274,red
1313259,red
1313258,red
1313255,red
1313253,black
1313243,red
1313230,red
1313219,red
1313207,black
1313205,red
1313193,black
1313180,red
1313173,black
1313147,red
1313140,black
1313139,black
1313138,black
1313136,red
1313135,black
1313131,red
1313127,red
1313116,red
1313113,black
1313104,red
1313103,black
1313096,black
1313078,red
1313074,red
1313071,red
1313066,red
1313056,red
1313053,red
1313051,red
1313046,black
1313043,red
1313037,red
1313026,red
1313023,black
1313022,red
1313021,black
1313018,black
1313013,black
1313010,black
1313009,red
1313006,black
1313003,red
1312999,black
1312997,black
1312995,red
1312986,red
1312985,red
1312984,red
1312981,black
1312978,red
1312977,red
1312935,red
1312905,red
1312898,black
1312893,black
1312871,black
1312861,red
1312851,red
1312768,red
1312742,black
1312704,red
1312667,black
1312666,red
1312629,red
1312623,red
1312620,red
1312618,black
1312616,red
1312601,red
1312600,black
1312598,black
1312567,red
1312548,red
1312530,red
1312526,black
1312525,red
1312521,black
1312520,red
1312515,red
1312496,red
1312485,red
1312483,black
1312482,black
1312477,red
1312466,red
1312465,black
1312463,black
1312460,black
1312449,black
1312437,black
1312431,black
1312426,black
1312403,red
1312401,red
1312398,black
1312394,black
1312393,red
1312385,black
1312382,black
1312369,red
1312352,red
1312342,red
1312327,red
1312326,black
1312320,black
1312313,black
1312306,red
1312288,black
1312285,black
1312277,red
1312276,black
1312261,black
1312260,red
1312257,red
1312256,black
1312242,red
1312240,red
1312236,red
1312235,red
1312221,black
1312216,red
1312207,red
1312199,red
1312196,black
1312191,black
1312190,black
1312175,black
1312174,red
1312167,red
1312155,red
1312125,black
1312120,black
1312098,red
1312096,red
1312088,red
1312087,red
1312084,black
1312069,red
1312068,red
1312020,red
1312014,red
1312011,black
1312009,red
1311971,black
1311938,red
1311879,red
1311854,red
1311824,black
1311817,red
1311795,red
1311794,black
1311793,black
1311767,red
1311708,black
1311703,black
1311702,red
1311701,red
1311700,black
1311699,black
1311695,black
1311694,black
1311693,black
1311628,black
1311607,red
1311587,red
1311570,red
1311535,red
1311534,black
1311533,red
1311532,red
1311523,red
1311522,black
1311504,red
1311497,red
1311495,red
1311488,red
1311478,black
1311471,red
1311455,red
1311415,red
1311414,red
1311413,black
1311412,red
1311404,red
1311400,black
1311399,red
1311397,black
1311396,black
1311395,black
1311394,black
1311393,black
1311392,black
1311382,black
1311375,red
1311373,black
1311371,red
1311369,red
1311368,black
1311359,red
1311358,black
1311357,black
1311356,black
1311354,black
1311353,red
1311347,red
1311343,black
1311342,black
1311341,red
1311339,red
1311330,red
1311313,black
1311305,black
1311292,red
1311291,black
1311290,red
1311272,black
1311270,black
1311268,black
1311259,black
1311243,black
1311216,black
1311211,black
1311197,red
1311193,red
1311187,black
1311184,red
1311183,red
1311156,black
1311150,red
1311143,red
1311139,red
1311127,black
1311126,red
1311121,red
1311118,red
1311110,red
1311101,black
1311096,black
1311092,red
1311089,red
1311087,red
1311084,red
1311082,red
1311081,black
1311072,red
1311070,black
1311069,black
1311061,black
1311060,red
1311059,black
1311053,red
1311052,black
1311049,black
1311048,red
1311047,red
1311044,red
1311043,red
1311042,red
1311038,red
1311037,black
1311036,red
1311035,red
1311034,black
1311033,red
1311032,black
1311031,red
1311030,black
1311029,red
1311027,black
1311026,black
1311024,black
1311023,red
1311022,black
1311021,black
1311020,black
1311017,red
1311016,black
1311015,black
1311014,red
1311012,black
1311011,black
1311010,black
1311008,black
1311007,black
1310997,red
1310995,red
1310994,black
1310993,black
1310990,red
1310960,black
1310958,red
1310956,red
1310954,red
1310953,black
1310951,red
1310940,red
1310936,black
1310931,black
1310928,black
1310927,black
1310926,black
1310923,black
1310922,red
1310921,black
1310913,black
1310910,red
1310906,black
1310902,black
1310901,black
1310900,black
1310898,black
1310897,black
1310896,black
1310894,black
1310891,black
1310890,red
1310879,red
1310874,black
1310872,red
1310871,black
1310869,red
1310858,red
1310856,black
1310840,red
1310835,black
1310831,black
1310828,black
1310825,black
1310819,black
1310817,black
1310815,black
1310814,black
1310806,red
1310801,red
1310787,black
1310779,red
1310771,black
1310764,red
1310763,black
1310762,red
1310761,black
1310754,black
1310743,red
1310740,red
1310735,black
1310734,black
1310733,black
1310732,black
1310720,black
1310719,red
1310718,red
1310717,red
1310705,red
1310703,red
1310698,red
1310697,red
1310687,black
1310683,black
1310682,red
1310680,red
1310673,black
1310671,red
1310670,red
1310669,red
1310668,black
1310667,red
1310647,black
1310634,red
1310633,red
1310632,black
1310631,red
1310629,red
1310628,red
1310627,black
1310626,red
1310625,red
1310609,red
1310600,red
1310599,red
1310595,red
1310594,black
1310593,black
1310592,black
1310591,red
1310590,black
1310588,black
1310583,black
1310582,red
1310580,black
1310579,black
1310576,black
1310575,black
1310572,black
1310563,black
1310562,black
1310556,red
1310553,black
1310543,black
1310542,red
1310541,red
1310540,red
1310538,black
1310537,red
1310534,red
1310529,red
1310528,black
1310527,black
1310526,black
1310525,black
1310524,red
1310521,black
1310519,red
1310517,red
1310516,black
1310513,black
1310511,red
1310508,red
1310506,black
1310505,red
1310504,black
1310502,red
1310500,black
1310499,black
1310498,red
1310493,black
1310471,red
1310470,black
1310466,black
1310460,red
1310450,red
1310449,red
1310448,black
1310444,red
1310443,black
1310442,black
1310440,black
1310439,red
1310438,red
1310437,black
1310436,black
1310432,black
1310428,black
1310424,red
1310423,red
1310422,red
1310420,black
1310412,red
1310411,red
1310408,red
1310407,black
1310406,red
1310404,black
1310401,black
1310399,black
1310395,red
1310394,red
1310393,black
1310392,black
1310390,black
1310386,black
1310385,red
1310384,black
1310383,red
1310378,red
1310376,black
1310375,red
1310374,red
1310367,red
1310363,red
1310361,red
1310356,black
1310355,black
1310354,red
1310353,red
1310352,red
1310349,black
1310348,red
1310347,red
1310342,black
1310340,black
1310339,red
1310338,black
1310337,red
1310333,red
1310332,black
1310325,red
1310323,black
1310321,black
1310319,black
1310314,black
1310304,red
1310303,black
1310302,red
1310301,red
1310293,black
1310292,red
1310291,red
1310289,red
1310288,red
1310287,black
1310286,black
1310283,black
1310282,red
1310279,black
1310278,black
1310277,black
1310276,red
1310275,black
1310274,black
1310272,black
1310267,red
1310265,black
1310264,black
1310259,black
1310258,red
1310257,red
1310256,black
1310255,black
1310253,black
1310250,black
1310245,red
1310244,black
1310243,red
1310240,red
1310238,black
1310237,black
1310236,black
1310235,black
1310234,red
1310231,black
1310229,red
1310224,red
1310223,red
1310222,black
1310215,black
1310214,black
1310213,red
1310212,black
1310211,black
1310210,red
1310209,black
1310208,black
1310207,black
1310206,black
1310205,black
1310204,black
1310203,black
1310202,red
1310201,black
1310200,black
1310199,red
1310198,black
1310197,black
1310194,black
1310193,red
1310192,black
1310189,black
1310188,black
1310187,black
1310186,red
1310185,black
1310181,red
1310177,black
1310176,red
1310175,red
1310174,red
1310173,red
1310172,red
1310171,red
1310170,black
1310169,red
1310168,black
1310166,red
1310165,red
1310162,black
1310161,black
1310160,red
1310158,red
1310156,red
1310155,black
1310154,black
1310153,black
1310151,black
1310150,black
1310147,red
1310146,black
1310144,black
1310142,red
1310136,red
1310135,black
1310134,black
1310133,black
1310131,black
1310130,black
1310128,red
1310104,black
1310100,black
1310096,black
1310090,black
1310086,black
1310084,red
1310083,black
1310082,red
1310081,red
1310076,red
1310073,red
1310071,red
1310068,red
1310065,red
1310064,red
1310063,red
1310062,black
1310053,red
1310052,red
1310051,black
1310050,black
1310049,black
1310048,black
1310047,black
1310046,black
1310045,red
1310041,black
1310038,red
1310032,red
1310031,red
1310029,red
1310028,black
1310025,red
1310019,black
1310018,red
1310017,red
1310013,black
1310012,red
1310010,black
1310008,red
1310005,red
1310000,red
1309998,black
1309989,red
1309986,red
1309983,black
1309982,black
1309978,black
1309977,black
1309974,red
1309973,red
1309972,red
1309971,red
1309970,black
1309969,red
1309967,red
1309965,red
1309963,red
1309962,black
1309958,red
1309953,red
1309952,black
1309951,red
1309947,red
1309946,red
1309945,black
1309935,black
1309933,red
1309931,red
1309929,black
1309928,black
1309927,red
1309916,red
1309915,black
1309913,black
1309908,red
1309901,red
1309900,black
1309899,red
1309896,red
1309894,black
1309889,black
1309886,black
1309885,black
1309883,red
1309882,red
1309879,red
1309878,black
1309877,red
1309875,red
1309874,red
1309871,black
1309868,red
1309867,black
1309866,black
1309864,red
1309862,red
1309861,red
1309859,black
1309857,red
1309855,red
1309852,red
1309851,red
1309844,red
1309843,red
1309842,red
1309841,black
1309840,black
1309839,red
1309835,red
1309833,black
1309830,black
1309829,red
1309828,black
1309826,red
1309825,black
1309822,black
1309815,red
1309813,black
1309811,red
1309810,red
1309809,black
1309803,red
1309802,black
1309798,black
1309797,black
1309796,red
1309795,black
1309794,black
1309792,red
1309791,black
1309790,red
1309789,red
1309788,red
1309787,red
1309784,black
1309783,black
1309775,red
1309773,red
1309771,red
1309764,black
1309763,black
1309759,red
1309757,black
1309756,black
1309755,red
1309754,black
1309753,red
1309750,black
1309749,red
1309743,red
1309742,black
1309740,red
1309739,red
1309738,red
1309736,red
1309734,black
1309733,black
1309732,black
