epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.0935,1.3184,5.19637,1.06986,0,0,0,0,1.18263,5.13479,1.10427,0,0,0
2,13.3055,1.23065,5.21295,1.11858,0,0,0,0,1.17687,5.14714,1.10301,1.23763e-05,1.23763e-05,1.23763e-05
3,15.0074,1.29419,5.30228,1.12379,0,0,0,0,1.16798,5.14899,1.10117,2.4505e-05,2.4505e-05,2.4505e-05
4,17.1288,1.37179,5.15432,1.08578,0.00076,0.01786,0.00041,0.00037,1.05512,4.73264,1.01022,3.63862e-05,3.63862e-05,3.63862e-05
5,21.2794,1.12823,4.63827,1.01161,0.6599,0.07596,0.06257,0.03513,1.03156,3.86701,0.96208,4.802e-05,4.802e-05,4.802e-05
6,27.9181,1.12149,3.79521,0.93429,0.65326,0.20536,0.20663,0.1374,1.05919,2.68218,0.96711,5.94062e-05,5.94062e-05,5.94062e-05
7,32.1207,0.97393,3.36621,0.97136,0.77622,0.40476,0.42073,0.28087,1.13957,1.88653,0.97691,7.0545e-05,7.0545e-05,7.0545e-05
8,36.333,0.90146,2.57369,0.92221,0.30671,0.59691,0.53281,0.35587,1.10741,1.85428,0.95156,8.14362e-05,8.14362e-05,8.14362e-05
9,40.3258,1.10823,2.0115,0.89338,0.71681,0.60417,0.66187,0.44735,1.14,2.25387,0.96866,9.208e-05,9.208e-05,9.208e-05
10,44.3253,0.95018,1.39365,0.91349,0.81366,0.66728,0.75584,0.52311,1.07573,2.61233,0.9557,0.000102476,0.000102476,0.000102476
11,48.3759,0.96968,1.26495,0.96332,0.75167,0.66964,0.79688,0.5734,1.00776,2.80245,0.93453,0.000112625,0.000112625,0.000112625
12,52.5853,0.83385,1.03757,0.86164,0.75576,0.73214,0.81735,0.60344,0.94167,2.58935,0.91525,0.000122526,0.000122526,0.000122526
13,56.5935,0.81259,0.94733,0.89026,0.79854,0.73214,0.81581,0.62234,0.88441,2.27291,0.89874,0.00013218,0.00013218,0.00013218
14,60.8105,0.78382,0.79062,0.90146,0.75175,0.76041,0.82738,0.63359,0.86633,1.79567,0.89036,0.000141586,0.000141586,0.000141586
15,64.9529,0.75192,0.74351,0.89797,0.83189,0.78173,0.85179,0.65254,0.88285,1.3628,0.88819,0.000150745,0.000150745,0.000150745
16,69.2268,0.96093,0.86239,0.86913,0.81945,0.875,0.9203,0.70468,0.88913,1.1644,0.88852,0.000159656,0.000159656,0.000159656
17,73.2494,0.84781,0.76617,0.85104,0.936,0.90809,0.97998,0.73709,0.92831,1.09049,0.89735,0.00016832,0.00016832,0.00016832
18,77.2274,0.75485,0.67706,0.88187,0.936,0.90809,0.97998,0.73709,0.92831,1.09049,0.89735,0.000176736,0.000176736,0.000176736
19,81.2718,0.82816,0.69478,0.86462,0.92684,0.94332,0.99019,0.74294,0.94427,1.04028,0.90273,0.000184905,0.000184905,0.000184905
20,85.3835,0.83728,0.63391,0.84582,0.92684,0.94332,0.99019,0.74294,0.94427,1.04028,0.90273,0.000192826,0.000192826,0.000192826
21,89.4209,0.76479,0.59926,0.87419,0.93411,0.96974,0.98712,0.74793,0.91898,1.0286,0.89718,0.0002005,0.0002005,0.0002005
22,93.4882,0.74572,0.61583,0.8864,0.93411,0.96974,0.98712,0.74793,0.91898,1.0286,0.89718,0.000207926,0.000207926,0.000207926
23,97.5134,0.71498,0.53859,0.86019,0.94801,0.97917,0.98712,0.77133,0.86481,0.91317,0.88589,0.000215105,0.000215105,0.000215105
24,101.63,0.83526,0.6718,0.88718,0.94801,0.97917,0.98712,0.77133,0.86481,0.91317,0.88589,0.000222036,0.000222036,0.000222036
25,105.776,0.72442,0.60921,0.82718,0.96338,1,0.99346,0.77498,0.8339,0.72317,0.87971,0.00022872,0.00022872,0.00022872
26,109.922,0.75838,0.58963,0.87572,0.96338,1,0.99346,0.77498,0.8339,0.72317,0.87971,0.000235156,0.000235156,0.000235156
27,114.018,1.04419,0.76343,0.88104,0.97221,1,0.99346,0.77364,0.83569,0.61677,0.87832,0.000241345,0.000241345,0.000241345
28,116.497,0.76664,0.59493,0.8522,0.97221,1,0.99346,0.77364,0.83569,0.61677,0.87832,0.000247286,0.000247286,0.000247286
