epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,15.8813,0.92559,4.1523,1.0799,0.02634,0.4239,0.05559,0.044,0.73501,3.34674,0.91642,2.224e-05,2.224e-05,2.224e-05
2,23.4246,0.77577,3.63404,1.00698,0.04396,0.59676,0.07967,0.06855,0.65215,3.52578,0.8662,4.98749e-05,4.98749e-05,4.98749e-05
3,28.8211,0.57837,2.84415,0.90703,0.16593,0.46296,0.1159,0.10447,0.48134,5.61362,0.82286,7.73263e-05,7.73263e-05,7.73263e-05
4,34.8258,0.47973,2.32366,0.87512,0.16051,0.49987,0.19227,0.18012,0.38514,3.77614,0.80076,0.000104594,0.000104594,0.000104594
5,40.573,0.49067,2.1292,0.85316,0.20021,0.56854,0.25299,0.23347,0.41405,2.90185,0.80832,0.000131679,0.000131679,0.000131679
6,45.8814,0.44194,1.89484,0.84927,0.22534,0.61758,0.30074,0.28169,0.3848,2.28524,0.79755,0.00015858,0.00015858,0.00015858
7,51.1377,0.42685,1.81197,0.84089,0.24196,0.69781,0.3402,0.31824,0.39018,2.15045,0.80208,0.000185297,0.000185297,0.000185297
8,56.6003,0.41365,1.66878,0.83469,0.29972,0.7437,0.40441,0.36894,0.45126,2.14901,0.81811,0.000211831,0.000211831,0.000211831
9,62.2006,0.40454,1.52079,0.84464,0.35537,0.70692,0.49107,0.46189,0.34997,1.83367,0.79222,0.000238182,0.000238182,0.000238182
10,67.2485,0.44554,1.43231,0.84406,0.45784,0.66783,0.56806,0.53347,0.35614,1.72511,0.79743,0.000264349,0.000264349,0.000264349
11,72.7561,0.42294,1.33553,0.82797,0.50097,0.7134,0.6754,0.62504,0.39397,1.28794,0.79787,0.000290332,0.000290332,0.000290332
12,78.0683,0.38743,1.18702,0.8233,0.57866,0.69845,0.71551,0.66855,0.36785,1.34903,0.79845,0.000316132,0.000316132,0.000316132
13,83.2859,0.40371,1.10496,0.82505,0.56693,0.73157,0.73394,0.68184,0.38423,1.19791,0.80278,0.000341749,0.000341749,0.000341749
14,88.6641,0.39797,1.08332,0.82456,0.74904,0.68733,0.75113,0.70258,0.36539,0.98045,0.79822,0.000367182,0.000367182,0.000367182
15,93.8983,0.37259,1.00419,0.82773,0.70634,0.70539,0.77809,0.72667,0.362,0.95009,0.80103,0.000392431,0.000392431,0.000392431
16,99.1712,0.38305,0.93834,0.82752,0.6802,0.74005,0.8001,0.74178,0.3792,0.95032,0.79859,0.000417498,0.000417498,0.000417498
17,104.755,0.38743,0.90669,0.82918,0.70442,0.78808,0.84126,0.78597,0.34901,0.79831,0.79053,0.00044238,0.00044238,0.00044238
18,109.797,0.37635,0.87022,0.8167,0.76347,0.81363,0.84848,0.79879,0.35599,0.79336,0.79115,0.000467079,0.000467079,0.000467079
19,115.024,0.38073,0.82006,0.81771,0.73098,0.80168,0.83213,0.78524,0.35754,0.87946,0.79384,0.000491595,0.000491595,0.000491595
20,119.391,0.38093,0.81019,0.81922,0.81857,0.8806,0.9251,0.87874,0.32767,0.59574,0.78635,0.000515927,0.000515927,0.000515927
21,124.395,0.38024,0.7304,0.81891,0.87055,0.88488,0.94023,0.88349,0.34802,0.62235,0.79095,0.000519304,0.000519304,0.000519304
22,129.357,0.38348,0.69139,0.81789,0.80481,0.90461,0.9347,0.8793,0.3612,0.66537,0.79319,0.000517469,0.000517469,0.000517469
23,132.766,0.38653,0.64553,0.82043,0.8722,0.92198,0.96156,0.9065,0.34019,0.55188,0.7888,0.000515634,0.000515634,0.000515634
24,137.981,0.38313,0.65736,0.81665,0.89258,0.91023,0.96407,0.90598,0.35595,0.52166,0.78935,0.0005138,0.0005138,0.0005138
25,141.501,0.39004,0.6702,0.81685,0.89374,0.88767,0.95472,0.8995,0.35556,0.56949,0.78978,0.000511965,0.000511965,0.000511965
26,145.321,0.37318,0.61546,0.81844,0.92702,0.88181,0.9603,0.91494,0.32533,0.52793,0.78596,0.00051013,0.00051013,0.00051013
27,150.813,0.38031,0.62861,0.8101,0.91959,0.91857,0.97162,0.92636,0.32535,0.47617,0.78417,0.000508295,0.000508295,0.000508295
28,155.807,0.36329,0.57213,0.81534,0.89219,0.92568,0.95927,0.9106,0.33672,0.53147,0.78445,0.00050646,0.00050646,0.00050646
29,159.205,0.37108,0.57253,0.815,0.89065,0.94693,0.97319,0.92664,0.33796,0.48354,0.78528,0.000504626,0.000504626,0.000504626
30,164.97,0.34555,0.50283,0.81577,0.92577,0.9509,0.97935,0.92072,0.33888,0.44217,0.7841,0.000502791,0.000502791,0.000502791
31,168.842,0.35905,0.51236,0.81391,0.95096,0.93543,0.97903,0.92821,0.34283,0.43235,0.78355,0.000500956,0.000500956,0.000500956
32,173.764,0.335,0.49109,0.80791,0.95686,0.95641,0.98542,0.93675,0.31929,0.35972,0.78005,0.000499121,0.000499121,0.000499121
33,179.309,0.35526,0.51676,0.80907,0.92168,0.96146,0.98324,0.92854,0.33482,0.39525,0.78248,0.000497286,0.000497286,0.000497286
34,183.393,0.35318,0.50139,0.80848,0.93424,0.93746,0.98138,0.93041,0.3308,0.40602,0.78291,0.000495452,0.000495452,0.000495452
35,186.805,0.35226,0.49393,0.81725,0.9409,0.93864,0.97967,0.9342,0.31365,0.39108,0.78294,0.000493617,0.000493617,0.000493617
36,190.585,0.34243,0.46177,0.80817,0.93076,0.92461,0.97619,0.92343,0.34922,0.4311,0.78899,0.000491782,0.000491782,0.000491782
37,194.012,0.35044,0.51308,0.80593,0.96057,0.95036,0.98066,0.92823,0.34575,0.37109,0.78886,0.000489947,0.000489947,0.000489947
38,197.289,0.33844,0.43739,0.80978,0.94937,0.95693,0.9819,0.93994,0.30782,0.36642,0.78279,0.000488112,0.000488112,0.000488112
39,202.759,0.34038,0.46657,0.80589,0.95945,0.93882,0.98042,0.93598,0.32141,0.38287,0.78393,0.000486278,0.000486278,0.000486278
40,206.12,0.33691,0.45499,0.79899,0.94712,0.95203,0.98081,0.93084,0.32066,0.37505,0.77975,0.000484443,0.000484443,0.000484443
41,209.708,0.34792,0.45196,0.80722,0.95424,0.96532,0.98371,0.93832,0.32063,0.34075,0.77941,0.000482608,0.000482608,0.000482608
42,213.063,0.3311,0.4245,0.80749,0.95467,0.96972,0.98427,0.93738,0.32282,0.3156,0.78008,0.000480773,0.000480773,0.000480773
43,216.814,0.34989,0.43113,0.80784,0.96839,0.9622,0.98389,0.93581,0.32871,0.31482,0.78128,0.000478938,0.000478938,0.000478938
44,220.197,0.33686,0.42994,0.81643,0.96582,0.96331,0.98597,0.94367,0.31527,0.32748,0.77883,0.000477104,0.000477104,0.000477104
45,225.247,0.3324,0.40056,0.80225,0.95905,0.9583,0.98525,0.93713,0.33283,0.35129,0.77997,0.000475269,0.000475269,0.000475269
46,229.014,0.34621,0.41745,0.80953,0.95144,0.96117,0.98234,0.93574,0.32642,0.35787,0.7786,0.000473434,0.000473434,0.000473434
47,232.994,0.33023,0.40172,0.80873,0.95319,0.96605,0.9849,0.93531,0.33131,0.33034,0.78157,0.000471599,0.000471599,0.000471599
48,236.357,0.35036,0.39944,0.80742,0.96477,0.9697,0.98954,0.94633,0.32754,0.31795,0.78177,0.000469764,0.000469764,0.000469764
49,241.652,0.33313,0.40791,0.80907,0.95926,0.97137,0.98839,0.94564,0.31664,0.31367,0.77992,0.00046793,0.00046793,0.00046793
50,245.135,0.33887,0.40382,0.80336,0.95322,0.96767,0.98671,0.94586,0.30565,0.30264,0.77783,0.000466095,0.000466095,0.000466095
51,249.124,0.30782,0.37512,0.80502,0.94141,0.9652,0.9853,0.94292,0.32489,0.31688,0.77997,0.00046426,0.00046426,0.00046426
52,252.845,0.32075,0.37941,0.80859,0.9078,0.95964,0.97738,0.93155,0.31348,0.35295,0.77829,0.000462425,0.000462425,0.000462425
53,256.273,0.33719,0.37431,0.80307,0.92765,0.92796,0.97578,0.93322,0.31379,0.38013,0.77859,0.00046059,0.00046059,0.00046059
54,259.828,0.33322,0.38699,0.8106,0.93029,0.93404,0.98088,0.92727,0.34355,0.36737,0.78262,0.000458756,0.000458756,0.000458756
55,264.679,0.3318,0.3788,0.80388,0.95597,0.93189,0.98292,0.93721,0.33037,0.36121,0.7814,0.000456921,0.000456921,0.000456921
56,268.703,0.31917,0.37779,0.80774,0.95371,0.95693,0.98862,0.94747,0.31962,0.3225,0.78084,0.000455086,0.000455086,0.000455086
57,274.18,0.32072,0.35767,0.80065,0.96288,0.95853,0.9909,0.95257,0.31307,0.3107,0.77725,0.000453251,0.000453251,0.000453251
58,284.584,0.32402,0.36997,0.80404,0.96944,0.95399,0.99183,0.9492,0.31949,0.31767,0.77773,0.000451416,0.000451416,0.000451416
59,288.167,0.30723,0.35239,0.798,0.96745,0.95394,0.99182,0.9501,0.30949,0.31477,0.77725,0.000449582,0.000449582,0.000449582
