epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,101.755,0.30262,0.37344,0.80073,0.9433,0.94654,0.98257,0.94979,0.25609,0.30301,0.80585,2.224e-05,2.224e-05,2.224e-05
2,187.895,0.29342,0.31786,0.80721,0.95073,0.95932,0.98581,0.9489,0.27348,0.2894,0.80713,4.98749e-05,4.98749e-05,4.98749e-05
3,269.928,0.29732,0.3092,0.81136,0.97005,0.97763,0.98334,0.94632,0.27495,0.24266,0.80754,7.73263e-05,7.73263e-05,7.73263e-05
4,355.43,0.30002,0.3124,0.80887,0.96318,0.95025,0.98316,0.94371,0.29088,0.27801,0.81105,0.000104594,0.000104594,0.000104594
5,442.609,0.30242,0.29971,0.79552,0.90767,0.95402,0.98117,0.94762,0.27508,0.33051,0.80786,0.000131679,0.000131679,0.000131679
6,535.203,0.30266,0.29219,0.80244,0.97074,0.95965,0.98243,0.94511,0.28315,0.27346,0.81176,0.00015858,0.00015858,0.00015858
7,622.985,0.29264,0.28952,0.80536,0.95424,0.9518,0.98384,0.94677,0.27985,0.3037,0.80936,0.000185297,0.000185297,0.000185297
8,707.984,0.28785,0.27163,0.7986,0.96633,0.94812,0.98301,0.94809,0.2822,0.27981,0.80962,0.000211831,0.000211831,0.000211831
9,801.217,0.27878,0.28692,0.8045,0.96691,0.97622,0.98326,0.94409,0.30401,0.2857,0.80943,0.000238182,0.000238182,0.000238182
10,887.386,0.31368,0.31078,0.80958,0.97015,0.96119,0.98257,0.94893,0.28402,0.26802,0.80404,0.000264349,0.000264349,0.000264349
11,977.869,0.30148,0.29096,0.8045,0.9744,0.98356,0.98485,0.94426,0.30502,0.2562,0.81268,0.000290332,0.000290332,0.000290332
12,1073.77,0.29017,0.27854,0.79842,0.96737,0.96835,0.98552,0.94935,0.29258,0.26697,0.81057,0.000316132,0.000316132,0.000316132
13,1170.44,0.29886,0.28152,0.80525,0.98179,0.9798,0.98401,0.94647,0.29332,0.24569,0.81198,0.000341749,0.000341749,0.000341749
14,1250.92,0.30733,0.2803,0.80815,0.97776,0.987,0.98109,0.93828,0.29959,0.23341,0.81382,0.000367182,0.000367182,0.000367182
15,1338.93,0.29539,0.29395,0.80774,0.97005,0.98195,0.98129,0.9323,0.35069,0.28037,0.83096,0.000392431,0.000392431,0.000392431
16,1433.09,0.30395,0.29381,0.81443,0.96985,0.98016,0.98138,0.93502,0.32686,0.2704,0.82361,0.000417498,0.000417498,0.000417498
17,1512.39,0.3216,0.29703,0.81456,0.9822,0.97588,0.98683,0.94559,0.31751,0.25601,0.81936,0.00044238,0.00044238,0.00044238
18,1601.36,0.32132,0.29426,0.80662,0.98032,0.98338,0.98915,0.93259,0.338,0.24784,0.82197,0.000467079,0.000467079,0.000467079
19,1684.85,0.32519,0.28139,0.80907,0.98379,0.98355,0.98888,0.94345,0.31204,0.23415,0.81649,0.000491595,0.000491595,0.000491595
20,1765.78,0.32764,0.30238,0.81135,0.96558,0.99012,0.98841,0.93994,0.33071,0.24013,0.82401,0.000515927,0.000515927,0.000515927
21,1849.85,0.32836,0.29761,0.81323,0.97396,0.97848,0.98671,0.93561,0.34993,0.25002,0.83253,0.000519304,0.000519304,0.000519304
22,1935.49,0.32325,0.29465,0.81144,0.96815,0.9869,0.9857,0.92729,0.34905,0.259,0.8297,0.000517469,0.000517469,0.000517469
23,2018.26,0.30886,0.28434,0.81101,0.96397,0.96807,0.98111,0.93806,0.29691,0.27813,0.81385,0.000515634,0.000515634,0.000515634
24,2097.71,0.30738,0.28401,0.81027,0.96281,0.96431,0.9851,0.9381,0.32014,0.28458,0.8191,0.0005138,0.0005138,0.0005138
25,2178.45,0.31215,0.2897,0.80334,0.9816,0.96879,0.98481,0.93018,0.333,0.27822,0.8223,0.000511965,0.000511965,0.000511965
26,2259.25,0.31502,0.30019,0.80757,0.97725,0.98593,0.9828,0.93762,0.32407,0.27574,0.82016,0.00051013,0.00051013,0.00051013
27,2334.92,0.31146,0.28466,0.80077,0.98311,0.98648,0.98385,0.94484,0.30439,0.24673,0.81596,0.000508295,0.000508295,0.000508295
28,2413.2,0.31448,0.2928,0.80559,0.97731,0.9802,0.98173,0.94039,0.29748,0.2649,0.81155,0.00050646,0.00050646,0.00050646
29,2494.88,0.30762,0.28846,0.80595,0.98165,0.98063,0.98047,0.94189,0.31016,0.262,0.81658,0.000504626,0.000504626,0.000504626
